"Stimulus","Country","NeuterResponses","DutchCognate","GermanGender","DutchGender"
"Baum","Belgium",0.108695652173913,"boom","masculine","common"
"Baum","The Netherlands",0.157303370786517,"boom","masculine","common"
"Deich","Belgium",0.152173913043478,"dijk","masculine","common"
"Deich","The Netherlands",0.134831460674157,"dijk","masculine","common"
"Pfahl","Belgium",0.152173913043478,"paal","masculine","common"
"Pfahl","The Netherlands",0.134831460674157,"paal","masculine","common"
"Hand","Belgium",0.260869565217391,"hand","feminine","common"
"Hand","The Netherlands",0.0454545454545455,"hand","feminine","common"
"Pflicht","Belgium",0.217391304347826,"plicht","feminine","common"
"Pflicht","The Netherlands",0.112359550561798,"plicht","feminine","common"
"Glut","Belgium",0.152173913043478,"gloed","feminine","common"
"Glut","The Netherlands",0.191011235955056,"gloed","feminine","common"
"Steak","Belgium",0.130434782608696,"steak","neuter","common"
"Steak","The Netherlands",0.224719101123595,"steak","neuter","common"
"Horn","Belgium",0.195652173913043,"hoorn","neuter","common"
"Horn","The Netherlands",0.179775280898876,"hoorn","neuter","common"
"Kinn","Belgium",0.217391304347826,"kin","neuter","common"
"Kinn","The Netherlands",0.213483146067416,"kin","neuter","common"
"Beil","Belgium",0.282608695652174,"bijl","neuter","common"
"Beil","The Netherlands",0.213483146067416,"bijl","neuter","common"
"Spur","Belgium",0.369565217391304,"spoor","feminine","neuter"
"Spur","The Netherlands",0.314606741573034,"spoor","feminine","neuter"
"Wald","Belgium",0.565217391304348,"woud","masculine","neuter"
"Wald","The Netherlands",0.51685393258427,"woud","masculine","neuter"
"Front","Belgium",0.608695652173913,"front","feminine","neuter"
"Front","The Netherlands",0.50561797752809,"front","feminine","neuter"
"Sicht","Belgium",0.543478260869565,"zicht","feminine","neuter"
"Sicht","The Netherlands",0.606741573033708,"zicht","feminine","neuter"
"Uhr","Belgium",0.58695652173913,"uur","feminine","neuter"
"Uhr","The Netherlands",0.584269662921348,"uur","feminine","neuter"
"Lohn","Belgium",0.521739130434783,"loon","masculine","neuter"
"Lohn","The Netherlands",0.681818181818182,"loon","masculine","neuter"
"Chor","Belgium",0.608695652173913,"koor","masculine","neuter"
"Chor","The Netherlands",0.606741573033708,"koor","masculine","neuter"
"Strand","Belgium",0.608695652173913,"strand","masculine","neuter"
"Strand","The Netherlands",0.651685393258427,"strand","masculine","neuter"
"Schaum","Belgium",0.543478260869565,"schuim","masculine","neuter"
"Schaum","The Netherlands",0.719101123595506,"schuim","masculine","neuter"
"Schiff","Belgium",0.58695652173913,"schip","neuter","neuter"
"Schiff","The Netherlands",0.719101123595506,"schip","neuter","neuter"
"Boot","Belgium",0.565217391304348,"boot","neuter","common"
"Boot","The Netherlands",0.764044943820225,"boot","neuter","common"
"Park","Belgium",0.782608695652174,"park","masculine","neuter"
"Park","The Netherlands",0.752808988764045,"park","masculine","neuter"
"Ohr","Belgium",0.760869565217391,"oor","neuter","neuter"
"Ohr","The Netherlands",0.808988764044944,"oor","neuter","neuter"
"Hemd","Belgium",0.847826086956522,"hemd","neuter","neuter"
"Hemd","The Netherlands",0.910112359550562,"hemd","neuter","neuter"
"Brot","Belgium",0.826086956521739,"brood","neuter","neuter"
"Brot","The Netherlands",0.966292134831461,"brood","neuter","neuter"
"Licht","Belgium",0.847826086956522,"licht","neuter","neuter"
"Licht","The Netherlands",0.955056179775281,"licht","neuter","neuter"
