Subject,Mode,anzahl_richtig,Age,Sex,WST.Right,Raven.Right,English.Total,NrLang,DS.Total
7479,Visual,18,25,male,38,34,43,4,11
7540,Auditory,23,59,female,31,13,29,2,5
7540,Visual,14,59,female,31,13,29,2,5
7569,Auditory,6,10,male,4,8,6,1,7
7569,Visual,12,10,male,4,8,6,1,7
7601,Auditory,17,38,female,36,22,39,3,9
7601,Visual,22,38,female,36,22,39,3,9
7616,Auditory,2,11,female,13,2,15,2,6
7616,Visual,6,11,female,13,2,15,2,6
7744,Auditory,7,11,male,6,18,9,2,2
7744,Visual,3,11,male,6,18,9,2,2
7794,Auditory,12,64,male,36,10,38,3,6
7794,Visual,24,64,male,36,10,38,3,6
7859,Auditory,15,62,female,35,11,28,4,5
7859,Visual,16,62,female,35,11,28,4,5
7886,Auditory,8,10,female,27,26,31,1,6
7886,Visual,2,10,female,27,26,31,1,6
7921,Auditory,22,15,female,27,26,31,4,6
7921,Visual,21,15,female,27,26,31,4,6
8094,Auditory,21,56,male,37,19,33,3,7
8094,Visual,22,56,male,37,19,33,3,7
8373,Auditory,27,30,female,36,19,42,6,8
8373,Visual,31,30,female,36,19,42,6,8
8385,Auditory,14,69,female,28,7,26,2,4
8385,Visual,16,69,female,28,7,26,2,4
8443,Auditory,18,71,female,33,0,36,5,5
8443,Visual,25,71,female,33,0,36,5,5
8477,Auditory,17,42,female,36,25,26,3,8
8477,Visual,16,42,female,36,25,26,3,8
8509,Auditory,17,68,male,34,10,18,3,5
8509,Visual,19,68,male,34,10,18,3,5
8531,Auditory,23,52,female,36,30,31,4,8
8531,Visual,26,52,female,36,30,31,4,8
8578,Auditory,12,11,male,9,20,17,2,6
8578,Visual,8,11,male,9,20,17,2,6
8667,Auditory,21,27,female,33,33,44,3,6
8667,Visual,28,27,female,33,33,44,3,6
8674,Auditory,19,63,female,31,23,20,3,6
8674,Visual,17,63,female,31,23,20,3,6
8699,Auditory,13,80,female,36,12,30,4,5
8699,Visual,25,80,female,36,12,30,4,5
8706,Auditory,6,70,male,34,7,15,3,7
8706,Visual,16,70,male,34,7,15,3,7
8707,Auditory,18,63,female,35,6,34,3,4
8707,Visual,26,63,female,35,6,34,3,4
8760,Auditory,6,82,male,37,7,22,2,7
8760,Visual,20,82,male,37,7,22,2,7
8763,Auditory,15,40,female,27,26,13,2,4
8763,Visual,5,40,female,27,26,13,2,4
8788,Auditory,27,35,male,37,29,42,3,9
8788,Visual,7,35,male,37,29,42,3,9
8798,Auditory,16,15,male,20,18,14,2,5
8798,Visual,15,15,male,20,18,14,2,5
8805,Auditory,21,70,male,35,22,35,4,4
8805,Visual,14,70,male,35,22,35,4,4
8927,Auditory,15,59,male,36,9,32,5,5
8927,Visual,23,59,male,36,9,32,5,5
8942,Auditory,21,32,male,35,25,42,3,6
8942,Visual,33,32,male,35,25,42,3,6
8968,Auditory,17,25,male,31,21,26,2,6
8968,Visual,16,25,male,31,21,26,2,6
9022,Auditory,14,65,female,33,12,29,2,7
9022,Visual,17,65,female,33,12,29,2,7
9093,Auditory,18,15,female,18,23,21,3,6
9093,Visual,14,15,female,18,23,21,3,6
9193,Auditory,17,25,female,32,20,38,9,6
9193,Visual,20,25,female,32,20,38,9,6
9219,Auditory,13,11,male,11,9,13,1,6
9219,Visual,11,11,male,11,9,13,1,6
9275,Auditory,11,72,male,35,9,15,3,7
9275,Visual,24,72,male,35,9,15,3,7
9318,Auditory,15,72,male,34,9,19,2,6
9318,Visual,19,72,male,34,9,19,2,6
9442,Auditory,17,23,female,32,27,34,2,6
9442,Visual,16,23,female,32,27,34,2,6
9490,Auditory,25,39,female,35,21,32,2,9
9490,Visual,26,39,female,35,21,32,2,9
9509,Auditory,17,73,male,37,14,38,3,7
9509,Visual,19,73,male,37,14,38,3,7
9513,Auditory,7,10,male,14,5,10,1,5
9513,Visual,5,10,male,14,5,10,1,5
9555,Auditory,16,51,male,34,14,36,3,6
9555,Visual,7,51,male,34,14,36,3,6
9781,Auditory,22,43,male,34,35,37,4,12
9781,Visual,33,43,male,34,35,37,4,12
9802,Auditory,19,28,female,34,18,37,4,6
9802,Visual,19,28,female,34,18,37,4,6
9861,Auditory,22,24,male,36,25,41,4,7
9861,Visual,18,24,male,36,25,41,4,7
9912,Auditory,13,10,male,9,14,9,2,4
9912,Visual,8,10,male,9,14,9,2,4
9913,Auditory,16,40,female,29,17,17,3,8
9913,Visual,11,40,female,29,17,17,3,8
